SX,AD,FORM,DHYP,DPAN,DACU,DTP,DHOM,DSOP,DRELAX,ACU,HOM,BAIN,TC,Tma,Tme,TR,MED,NB,SPA,PARA,COD,NUB,PEC,AMFORM,QFORMACU,QFORMHYP,QFORMSOPHRO,QFORMTP,QFORMHAPTO,QFORMHOMEO,QFORMRELAX,PP,TYP
2,2013,2,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,5,1,1,0,0,2,1,1,0,0,1,0,1,0,0,Type 3
2,1999,1,0,0,1,0,0,0,0,5,0,3,1,4,0,2,6,6,1,2,0,0,1,1,0,1,0,0,0,0,1,0,type 2
2,1998,2,0,0,0,0,0,0,0,0,0,4,1,0,0,2,3,4,0,0,0,0,2,1,1,1,0,0,0,1,0,0,Type 3
2,1981,2,0,0,0,0,0,0,0,6,8,2,1,5,3,4,7,8,2,1,0,0,2,1,0,1,0,0,0,0,0,0,Type 3
2,2008,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,4,1,0,0,2,4,1,1,1,0,0,0,0,0,0,NA
2,2013,2,0,0,0,0,0,0,0,0,0,3,2,4,0,1,5,5,1,1,0,2,2,1,1,0,0,1,0,1,1,0,type 2
2,2013,2,0,0,0,0,0,0,0,2,6,1,3,5,7,4,0,7,1,2,0,3,4,1,1,0,1,0,0,1,0,1,type 2
2,2004,1,0,0,1,0,0,0,0,3,0,2,1,4,0,6,5,6,1,1,0,0,1,1,1,0,1,0,0,0,0,1,type 2
2,2003,1,0,0,1,0,0,0,0,7,0,8,6,5,2,10,9,7,5,5,0,1,2,1,0,1,0,0,0,1,0,0,type 2
2,2011,2,0,0,0,0,0,0,0,2,2,1,1,2,0,1,3,7,1,1,0,0,2,1,0,1,0,0,0,1,0,0,type 2
2,2012,2,0,0,0,0,0,0,0,3,0,1,2,0,0,1,4,5,1,1,0,0,4,1,0,0,1,0,0,0,1,1,type 2
2,2009,2,0,0,0,0,0,0,0,2,0,1,3,5,0,1,4,6,1,2,0,3,2,1,1,1,0,1,0,1,0,1,Type 3
2,1982,1,0,0,1,0,0,0,0,1,8,2,4,7,5,6,3,8,2,1,0,3,1,1,0,1,0,0,0,0,0,0,NA
